#SN log(cz) B_MAX V_MAX I_MAX (B−V) M^B_MAX M^V_MAX M^I_MAX ∆m15(B) EW(NaID)
90O 3.958(28) 16.32(10) 16.31(08) 16.70(09) 0.01(05) -19.40(17) -19.41(16) -19.02(17) 0.96(10) <0.2
90T 4.080(22) 17.16(21) 17.12(16) 17.35(15) 0.04(10) -19.17(24) -19.21(19) -18.98(19) 1.15(10) 1.0
90Y 4.066(22) 17.70(21) 17.37(16) 17.61(15) 0.33(10) -18.56(24) -18.89(20) -18.65(19) 1.13(10) <4.0
90af 4.178(17) 17.87(07) 17.82(06) — 0.05(03) -18.95(11) -19.00(11) — 1.56(05) <0.2
91S 4.223(16) 17.81(21) 17.77(16) 18.07(15) 0.04(10) -19.24(22) -19.28(18) -18.98(17) 1.04(10) <0.4
91U 3.992(28) 16.40(21) 16.34(16) 16.52(15) 0.06(10) -19.49(25) -19.55(21) -19.37(20) 1.06(10) 0.8
91ag 3.616(63) 14.62(14) 14.54(15) 14.86(19) 0.08(05) -19.40(35) -19.48(35) -19.16(37) 0.87(10) 0.0
92J 4.137(20) 17.70(21) 17.58(16) 17.84(15) 0.12(10) -18.92(23) -19.04(19) -18.78(18) 1.56(10) <0.2
92K 3.523(92) 15.83(21) 15.09(16) 14.94(15) 0.74(10) -17.72(44) -18.46(42) -18.61(42) 1.93(10) <0.2
92P 3.897(35) 16.08(07) 16.11(06) 16.39(06) -0.03(03) -19.34(18) -19.31(18) -19.03(18) 0.87(10) 1.2
92ae 4.351(12) 18.62(12) 18.51(08) — 0.11(05) -19.07(13) -19.18(10) — 1.28(10) <0.5
92ag 3.891(36) 16.41(08) 16.28(07) 16.41(06) 0.13(05) -18.98(19) -19.11(18) -18.98(18) 1.19(10) 1.1
92al 3.627(60) 14.60(07) 14.65(06) 14.94(06) -0.05(03) -19.47(32) -19.42(31) -19.13(31) 1.11(05) <0.05
92aq 4.481(09) 19.45(09) 19.35(07) 19.77(09) 0.10(05) -18.89(10) -18.99(08) -18.57(10) 1.46(10) <1.1
92au 4.260(14) 18.21(21) 18.16(16) 18.41(15) 0.05(10) -19.03(22) -19.08(18) -18.83(17) 1.49(10) <1.3
92bc 3.774(44) 15.16(07) 15.24(06) 15.58(05) -0.08(03) -19.64(23) -19.56(23) -19.22(22) 0.87(05) <0.2
92bg 4.030(25) 16.72(08) 16.76(07) 17.04(06) -0.04(05) -19.36(15) -19.32(14) -19.04(14) 1.15(10) <0.3
92bh 4.131(20) 17.70(08) 17.62(06) 17.80(06) 0.08(05) -18.89(13) -18.97(11) -18.79(11) 1.05(10) <0.5
92bk 4.240(15) 18.11(10) 18.11(07) 18.31(06) 0.00(05) -19.03(12) -19.03(10) -18.83(10) 1.57(10) <0.4
92bl 4.110(20) 17.36(08) 17.36(07) 17.64(06) 0.00(05) -19.13(13) -19.13(12) -18.85(12) 1.51(10) <0.5
92bo 3.736(46) 15.86(07) 15.85(06) 15.97(05) 0.01(03) -18.76(25) -18.77(25) -18.65(24) 1.69(05) <0.2
92bp 4.374(11) 18.41(07) 18.46(06) 18.78(06) -0.05(05) -19.40(09) -19.35(08) -19.03(08) 1.32(10) <1.1
92br 4.420(10) 19.38(17) 19.34(10) — 0.04(05) -18.66(18) -18.70(11) — 1.69(10) <4.0
92bs 4.279(14) 18.37(09) 18.30(07) — 0.07(05) -18.96(11) -19.03(10) — 1.13(10) <3.1
93B 4.326(13) 18.53(11) 18.41(09) 18.70(10) 0.12(05) -19.04(13) -19.16(11) -18.87(12) 1.04(10) <0.5
93H 3.872(37) 16.84(08) 16.61(06) 16.55(06) 0.23(05) -18.45(19) -18.68(19) -18.74(19) 1.69(10) 1.2
93O 4.193(17) 17.67(07) 17.76(06) 17.99(06) -0.09(03) -19.23(11) -19.14(10) -18.91(10) 1.22(05) <0.1
93ag 4.177(18) 17.72(08) 17.69(06) 18.01(06) 0.03(05) -19.10(12) -19.13(11) -18.81(11) 1.32(10) ?
93ah 3.935(29) 16.33(21) 16.37(16) 16.68(15) -0.04(10) -19.28(26) -19.24(22) -18.93(21) 1.30(10) ?
