#IAU_ID SNID R.A.(h:m:s) Decl.(°:':'') Telescope  Obs_Date
2005ed 722 00:02:49.36 +00:45:04.8 APO 9/9/05
2005ef 739 00:58:22.87 +00:40:44.6 APO 9/9/05
2005ei 744 21:56:47.65 +00:19:03.0 APO 9/8/05
2005eg 762 01:02:08.49 -00:52:44.5 APO 9/9/05
2005ex 774 01:41:51.24 -00:52:35.0 APO 9/9/05
2005ex 774 01:41:51.24 -00:52:35.0 MDM 9/15/05
— 779 01:46:41.70 -01:01:14.1 HET 12/29/05
2005ez 1032 03:07:10.97 +01:07:10.4 APO 9/25/05
2005fg 1112 22:36:04.20 -00:22:30.8 HET 9/26/05
2005lb 1114 22:54:50.06 -00:15:08.9 APO 11/4/05
2005fc 1119 21:21:39.25 +00:53:40.7 Subaru 9/27/05
— 1166 00:37:25.35 +00:58:23.8 Subaru 9/28/05
2005ff 1241 22:30:41.41 -00:46:35.7 WHT 9/23/05
2005fd 1253 21:35:11.76 +00:09:47.3 WHT 9/24/05
2005fd 1253 21:35:11.76 +00:09:47.3 APO 9/24/05
2005fd 1253 21:35:11.76 +00:09:47.3 HET 9/26/05
2005fe 1316 22:19:27.32 +00:29:39.9 WHT 9/29/05
2005fh 1371 23:17:29.71 +00:25:45.8 APO 9/25/05
— 1461 01:37:29.44 +00:12:35.0 HET 12/31/05
2005lc 1472 03:02:11.19 -01:09:59.4 APO 11/6/05
— 1525 03:08:49.93 +00:09:30.0 HET 12/25/05
— 1545 00:57:42.28 -00:40:42.3 APO 9/9/05
2005fb 1580 03:01:17.54 -00:38:38.6 WHT 9/23/05
— 1595 21:26:16.29 -00:33:14.6 MDM 9/25/05
— 1632 21:30:54.23 -00:08:02.2 APO 9/28/05
— 1686 00:08:59.60 -00:12:37.5 Subaru 9/27/05
— 1688 21:25:25.85 +00:19:28.3 Subaru 9/28/05
— 1740 00:21:37.06 -00:52:51.1 HET 12/25/05
2005fj 1794 21:11:20.85 -00:26:43.3 WHT 9/24/05
2005hl 2000 20:55:19.79 +00:32:34.7 MDM 10/22/05
2005fo 2017 21:55:46.40 +00:35:36.7 HET 9/22/05
2005fl 2030 20:47:21.99 -01:15:11.9 HET 9/27/05
2005fm 2031 20:48:10.37 -01:10:17.1 WHT 9/23/05
2005fk 2053 21:15:19.84 -00:22:58.6 HET 9/27/05
— 2063 21:59:23.79 -01:06:27.0 HET 9/25/05
2005fn 2102 20:48:53.05 +00:11:28.0 APO 9/27/05
2005fr 2165 01:08:22.02 -00:05:46.7 Subaru 9/29/05
2005fy 2246 03:20:21.70 -00:53:08.1 APO 9/25/05
2005fy 2246 03:20:21.70 -00:53:08.1 WHT 9/25/05
2005ey 2308 02:17:05.50 +00:16:48.9 WHT 9/23/05
2005fp 2330 00:27:13.69 +01:07:14.2 Subaru 9/28/05
2005fq 2366 00:53:44.05 -00:33:36.8 HET 10/1/05
— 2371 02:39:58.49 -00:31:49.4 APO 11/6/05
2005ft 2372 02:42:04.98 -00:32:27.0 WHT 9/24/05
2005ft 2372 02:42:04.98 -00:32:27.0 APO 9/25/05
2005fi 2422 00:07:58.69 +00:38:17.4 Subaru 9/28/05
2005fu 2440 02:50:32.09 +00:48:28.1 WHT 9/24/05
2005fs 2533 02:04:52.98 -00:19:35.2 HET 10/1/05
2005fv 2561 03:05:22.42 +00:51:30.1 MDM 9/24/05
2005fv 2561 03:05:22.42 +00:51:30.1 WHT 9/24/05
2005fv 2561 03:05:22.42 +00:51:30.1 APO 9/25/05
2005fv 2561 03:05:22.42 +00:51:30.1 MDM 9/25/05
2005fw 2635 03:30:49.04 -01:14:17.2 WHT 9/25/05
2005fw 2635 03:30:49.04 -01:14:17.2 Subaru 10/27/05
— 2661 23:32:49.81 +00:05:49.9 Subaru 9/28/05
2005fa 2689 01:39:36.09 -00:45:31.5 WHT 9/23/05
