#Name R.A.(2000) Decl.(2000) Obs.date Tel./Inst. Spectral_Type z z_source
SNLS-03D1au 02:24:10.392 -04:02:14.93 2907 Keck/LRIS SNIa 0.504 gal
SNLS-03D1aw 02:24:14.786 -04:31:01.61 2907 Keck/LRIS SNIa 0.582 gal
SNLS-03D1ax 02:24:23.338 -04:43:14.28 2913 Gem/GMOS SNIa 0.496 gal
SNLS-03D1bf 02:24:02.375 -04:55:57.27 2909 VLT/FORS1 SNIa* 0.703 gal
SNLS-03D1bk 02:26:27.412 -04:32:11.95 2912 Gem/GMOS SNIa 0.865 gal
SNLS-03D1bp 02:26:37.714 -04:50:19.55 2910 VLT/FORS1 SNIa* 0.346 gal
SNLS-03D1cm 02:24:55.294 -04:23:03.61 2940 Gem/GMOS SNIa 0.87 SN
SNLS-03D1co 02:26:16.252 -04:56:05.65 2966 Keck/LRIS SNIa 0.679 gal
SNLS-03D1dj 02:26:19.087 -04:07:08.89 2964 Keck/LRIS SNIa 0.39 SN
SNLS-03D1dt 02:26:31.200 -04:03:08.51 2974 VLT/FORS1 SNIa 0.612 gal
SNLS-03D1ew 02:24:14.079 -04:39:56.93 2995 Gem/GMOS SNIa 0.868 gal
SNLS-03D1fb 02:27:12.875 -04:07:16.44 2641 VLT/FORS1 SNIa 0.498 gal
SNLS-03D1fc 02:25:43.625 -04:08:38.93 2641 VLT/FORS1 SNIa 0.331 gal
SNLS-03D1fl 02:25:58.329 -04:07:44.17 2641 VLT/FORS1 SNIa 0.688 gal
SNLS-03D1fq 02:26:55.683 -04:18:08.10 2998 Gem/GMOS SNIa 0.80 SN
SNLS-03D1gt 02:24:56.027 -04:07:37.11 2641 VLT/FORS1 SNIa 0.55 SN
SNLS-03D3af 14:21:14.955 +52:32:15.68 2737 Keck/LRIS SNIa 0.532 gal
SNLS-03D3aw 14:20:53.534 +52:36:21.04 2767 Keck/LRIS SNIa 0.449 gal
SNLS-03D3ay 14:17:58.448 +52:28:57.63 2766 Keck/LRIS SNIa 0.371 gal
SNLS-03D3ba 14:16:33.465 +52:20:32.02 2766 Keck/LRIS SNIa 0.291 gal
SNLS-03D3bb 14:16:18.920 +52:14:53.66 2766 Keck/LRIS SNIa 0.244 gal
SNLS-03D3bh 14:21:35.894 +52:31:37.86 2766 Keck/LRIS SNIa 0.249 gal
SNLS-03D3bl 14:19:55.844 +53:05:50.91 2792 Keck/LRIS SNIa 0.355 gal
SNLS-03D3cc 14:19:45.192 +52:32:25.76 2793 Keck/LRIS SNIa 0.463 gal
SNLS-03D3cd 14:18:39.963 +52:36:44.22 2792 Keck/LRIS SNIa 0.461 gal
SNLS-03D4ag 22:14:45.806 -17:44:22.95 2824 Keck/LRIS SNIa 0.285 gal
SNLS-03D4at 22:14:24.023 -17:46:36.03 2826 VLT/FORS1 SNIa 0.633 gal
SNLS-03D4au 22:16:09.917 -18:04:39.19 2826 VLT/FORS1 SNIa* 0.468 gal
SNLS-03D4bc 22:15:28.143 -17:49:48.66 2826 VLT/FORS1 SNIa 0.572 gal
SNLS-03D4cj 22:16:06.658 -17:42:16.83 2879 Keck/LRIS SNIa 0.27 SN
SNLS-03D4cn 22:16:34.600 -17:16:13.55 2879 Gem/GMOS SNIa 0.818 gal
SNLS-03D4cx 22:14:33.754 -17:35:15.35 2885 VLT/FORS1 SNIa 0.95 SN
