#name, z, mag, mag_err
SN001 0.0285 16.86 0.19
SN002 0.0500 17.79 0.05
SN003 0.0529 17.60 0.05
SN004 0.0701 18.43 0.04
SN005 0.0627 18.25 0.05
SN006 0.0876 19.19 0.11
SN007 0.0786 18.27 0.04
SN008 0.0422 17.30 0.08
SN009 0.0453 17.58 0.05
SN010 0.0365 16.71 0.09
SN011 0.0196 15.07 0.11
SN012 0.1009 19.27 0.05
SN013 0.0273 16.26 0.09
SN014 0.0746 18.39 0.04
SN015 0.0265 16.03 0.09
SN016 0.0499 17.75 0.05
SN017 0.0306 16.19 0.08
SN018 0.0589 18.04 0.13
SN019 0.0163 15.02 0.14
SN020 0.0154 15.26 0.14
SN021 0.0305 16.19 0.07
SN022 0.0245 15.53 0.09
SN023 0.0240 15.92 0.10
SN024 0.0260 16.00 0.09
SN025 0.0489 17.72 0.08
SN026 0.0243 16.27 0.09
SN027 0.0152 14.76 0.14
SN028 0.0357 17.23 0.07
SN029 0.0488 17.03 0.05
SN030 0.0220 15.94 0.10
SN031 0.0275 16.59 0.08
SN032 0.1244 19.44 0.03
SN033 0.0360 16.62 0.07
SN034 0.0167 15.28 0.14
SN035 0.0163 15.82 0.13
SN036 0.0180 15.13 0.17
SN037 0.0218 15.86 0.10
SN038 0.0164 15.34 0.13
SN039 0.0232 16.57 0.10
SN040 0.0365 17.05 0.06
SN041 0.0176 15.59 0.18
SN042 0.0315 16.77 0.07
SN043 0.0235 16.08 0.10
SN044 0.0167 14.80 0.13
SN045 0.0537 17.58 0.05
SN046 0.0170 15.65 0.14
SN047 0.0172 15.07 0.14
SN048 0.0300 16.82 0.08
SN049 0.0166 15.31 0.13
SN050 0.0160 15.87 0.15
SN051 0.0150 14.69 0.15
SN052 0.0544 17.88 0.05
SN053 0.1561 19.96 0.03
SN054 0.0393 16.77 0.06
SN055 0.1241 19.74 0.04
SN056 0.1441 20.40 0.04
SN057 0.1299 19.56 0.03
SN058 0.0784 18.37 0.03
SN059 0.0583 17.63 0.06
SN060 0.0309 16.71 0.08
SN061 0.0406 16.90 0.06
SN062 0.0152 14.68 0.15
SN063 0.0224 15.16 0.20
SN064 0.0160 15.43 0.14
SN065 0.0362 16.57 0.06
SN066 0.0173 14.91 0.14
SN067 0.0312 16.56 0.09
SN068 0.0221 16.51 0.10
SN069 0.0249 16.51 0.11
SN070 0.0303 16.24 0.09
SN071 0.0283 16.62 0.08
SN072 0.0152 15.28 0.21
SN073 0.0279 16.32 0.10
SN074 0.0345 17.54 0.09
SN075 0.0360 16.70 0.07
SN076 0.0248 16.23 0.10
SN077 0.0292 16.59 0.08
SN078 0.0187 15.69 0.12
SN079 0.0195 15.62 0.12
SN080 0.0256 16.66 0.09
SN081 0.0337 17.20 0.08
SN082 0.0546 17.64 0.05
SN083 0.0240 16.32 0.10
SN084 0.0336 16.95 0.08
SN085 0.0341 17.11 0.08
SN086 0.0261 16.46 0.09
SN087 0.0211 15.84 0.10
SN088 0.0321 16.96 0.07
SN089 0.0221 15.46 0.10
SN090 0.0298 16.86 0.08
SN091 0.0334 17.34 0.08
SN092 0.0284 16.22 0.08
SN093 0.0341 16.36 0.07
SN094 0.0450 17.31 0.05
SN095 0.0421 17.22 0.08
SN096 0.0576 17.71 0.04
SN097 0.0330 16.79 0.07
SN098 0.0753 18.40 0.03
SN099 0.0204 15.55 0.11
SN100 0.0205 16.12 0.11
SN101 0.0402 17.59 0.06
SN102 0.0260 17.23 0.09
SN103 0.0259 16.11 0.09
SN104 0.0239 16.14 0.09
SN105 0.0690 18.35 0.07
SN106 0.0651 18.00 0.04
SN107 0.0315 16.44 0.07
SN108 0.0215 16.13 0.10
SN109 0.0255 18.89 0.09
SN110 0.0325 16.90 0.07
SN111 0.0843 18.15 0.08
SN112 0.0308 17.41 0.08
SN113 0.0327 17.75 0.07
SN114 0.0423 17.05 0.06
SN115 0.0684 18.12 0.04
SN116 0.0233 15.97 0.09
SN117 0.0491 17.56 0.05
